# Distance(km)    Depth(km)    Pressure(bar)    Vs(km/s)
22.144511    0.000000    0.000000    nan
66.433551    0.000000    0.000000    nan
110.722646    0.000000    0.000000    nan
155.011833    0.000000    0.000000    nan
199.301148    0.000000    0.000000    nan
247.434266    0.000000    0.000000    nan
291.712722    0.000000    0.000000    nan
335.991046    0.000000    0.000000    nan
380.269277    0.000000    0.000000    nan
424.547455    0.000000    0.000000    nan
468.825618    0.000000    0.000000    nan
513.103805    0.000000    0.000000    nan
557.382054    0.000000    0.000000    nan
601.660404    0.000000    0.000000    nan
645.938894    0.000000    0.000000    nan
694.054920    0.000000    0.000000    1.047200
738.320277    0.000000    0.000000    1.277550
782.585522    0.000000    0.000000    1.360500
826.850697    0.000000    0.000000    1.584620
871.115844    0.000000    0.000000    1.789090
915.381002    0.000000    0.000000    1.893580
959.646214    0.000000    0.000000    2.065070
1003.911520    0.000000    0.000000    2.186370
1048.176963    0.000000    0.000000    2.206260
1052.028010    0.000000    0.000000    2.204760
1096.278320    0.000000    0.000000    2.163570
1140.528479    0.000000    0.000000    2.215750
1184.778531    0.000000    0.000000    2.264450
1229.028520    0.000000    0.000000    2.323820
1273.278491    0.000000    0.000000    2.271340
1317.528487    0.000000    0.000000    2.102650
1361.778553    0.000000    0.000000    1.969860
1406.028733    0.000000    0.000000    1.969880
1454.120281    0.000000    0.000000    2.095630
1498.353139    0.000000    0.000000    2.107670
1542.585877    0.000000    0.000000    2.098880
1586.818542    0.000000    0.000000    2.058390
1631.051181    0.000000    0.000000    2.016100
1675.283842    0.000000    0.000000    1.989470
1719.516573    0.000000    0.000000    1.947980
1763.749420    0.000000    0.000000    1.890730
1767.605696    0.000000    0.000000    1.883470
1811.819174    0.000000    0.000000    1.867580
1856.032495    0.000000    0.000000    1.858930
1900.245710    0.000000    0.000000    1.904460
1944.458870    0.000000    0.000000    1.914190
1988.672027    0.000000    0.000000    1.919780
2032.885231    0.000000    0.000000    1.905660
2077.098534    0.000000    0.000000    1.899890
2121.311988    0.000000    0.000000    1.876500
2125.152738    0.000000    0.000000    1.944820
2169.344426    0.000000    0.000000    1.880320
2213.536001    0.000000    0.000000    1.826530
2257.727519    0.000000    0.000000    1.815900
2301.919035    0.000000    0.000000    1.807270
2346.110604    0.000000    0.000000    1.791090
2390.302282    0.000000    0.000000    1.790280
2434.494123    0.000000    0.000000    1.752450
2394.158800    0.000000    0.000000    1.767620
2438.326779    0.000000    0.000000    1.687380
2482.494609    0.000000    0.000000    1.662400
2526.662351    0.000000    0.000000    1.643380
2570.830065    0.000000    0.000000    1.639760
2614.997811    0.000000    0.000000    1.616350
2659.165648    0.000000    0.000000    1.532930
2663.027537    0.000000    0.000000    1.703570
22.144511    0.500000    49.980000    nan
66.433551    0.500000    49.980000    nan
110.722646    0.500000    49.980000    nan
155.011833    0.500000    49.980000    nan
199.301148    0.500000    49.980000    nan
247.434266    0.500000    49.980000    nan
291.712722    0.500000    49.980000    nan
335.991046    0.500000    49.980000    nan
380.269277    0.500000    49.980000    nan
424.547455    0.500000    49.980000    nan
468.825618    0.500000    49.980000    nan
513.103805    0.500000    49.980000    nan
557.382054    0.500000    49.980000    nan
601.660404    0.500000    49.980000    nan
645.938894    0.500000    49.980000    nan
694.054920    0.500000    49.980000    1.266100
738.320277    0.500000    49.980000    1.555730
782.585522    0.500000    49.980000    1.684340
826.850697    0.500000    49.980000    1.983740
871.115844    0.500000    49.980000    2.305160
915.381002    0.500000    49.980000    2.479320
959.646214    0.500000    49.980000    2.682620
1003.911520    0.500000    49.980000    2.701430
1048.176963    0.500000    49.980000    2.390930
1052.028010    0.500000    49.980000    2.605260
1096.278320    0.500000    49.980000    2.328790
1140.528479    0.500000    49.980000    2.299470
1184.778531    0.500000    49.980000    2.323590
1229.028520    0.500000    49.980000    2.383160
1273.278491    0.500000    49.980000    2.372290
1317.528487    0.500000    49.980000    2.302870
1361.778553    0.500000    49.980000    2.311320
1406.028733    0.500000    49.980000    2.382270
1454.120281    0.500000    49.980000    2.554350
1498.353139    0.500000    49.980000    2.542070
1542.585877    0.500000    49.980000    2.504070
1586.818542    0.500000    49.980000    2.469630
1631.051181    0.500000    49.980000    2.428680
1675.283842    0.500000    49.980000    2.407370
1719.516573    0.500000    49.980000    2.367870
1763.749420    0.500000    49.980000    2.308820
1767.605696    0.500000    49.980000    2.301890
1811.819174    0.500000    49.980000    2.284770
